timestamp,step,epoch,loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy
2025-12-09 12:58:21,1,0.011461318051575931,0.8551,0.07655543833971024,0.0,0.5700438246130943,71526.0,0.796532467007637
2025-12-09 13:04:32,20,0.22922636103151864,0.8234,0.07188833504915237,9.9545131771389e-05,0.597620705828855,1546119.0,0.7992174786172415
2025-12-09 13:10:37,40,0.4584527220630373,0.7506,0.08333806693553925,9.642530402366079e-05,0.7379238441586494,3047653.0,0.8046940363943577
2025-12-09 13:16:39,60,0.6876790830945558,0.6512,0.07847926765680313,9.052285991262975e-05,0.7104420877993107,4573745.0,0.8246333602815866
2025-12-09 13:22:52,80,0.9169054441260746,0.5619,0.06777770817279816,8.219157714448958e-05,0.572159954532981,6108663.0,0.8463438659906387
2025-12-09 13:28:53,100,1.1375358166189111,0.5056,0.04595602676272392,7.193081192692639e-05,0.492673630064184,7581684.0,0.8620423051443967
2025-12-09 13:35:14,120,1.3667621776504297,0.472,0.04636683315038681,6.035556880961093e-05,0.4604403913021088,9118261.0,0.8680255871266127
2025-12-09 13:41:23,140,1.5959885386819486,0.4575,0.04141480475664139,4.815963885293206e-05,0.45477285906672477,10646243.0,0.8694963924586773
2025-12-09 13:47:26,160,1.8252148997134672,0.4393,0.03951428830623627,3.607401553074735e-05,0.4428295582532883,12171800.0,0.872417451813817
2025-12-09 13:53:24,180,2.0458452722063036,0.4304,0.039214204996824265,2.482308081371413e-05,0.4371523342349313,13631897.0,0.874709503217177
2025-12-09 13:59:29,200,2.2750716332378222,0.4244,0.038638386875391006,1.508118752955136e-05,0.4299237018451095,15161088.0,0.8764983933418989
2025-12-09 14:05:43,220,2.504297994269341,0.4284,0.03816668689250946,7.43224034473674e-06,0.43571127858012915,16687215.0,0.8752701219171286
2025-12-09 14:11:47,240,2.7335243553008595,0.4273,0.03700960800051689,2.334697982290307e-06,0.4321040356531739,18207151.0,0.8756848685443401
2025-12-09 14:18:06,260,2.962750716332378,0.4265,0.03818614035844803,9.409435499254104e-08,0.4309410206973553,19746839.0,0.8762573085725307
2025-12-09 14:19:16,264,3.0,4875.7053,8.589,0.054,3.542551129217495e+17,0.5214300464951631,0.4268473283602641,20001264.0,0.87710623557751
