timestamp,step,epoch,loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy
2025-12-09 12:53:57,1,0.004581901489117984,0.8595,3.0625,0.0,0.5688764601945877,28217.0,0.7968642562627792
2025-12-09 12:56:42,20,0.09163802978235967,0.6743,0.58984375,4.75e-05,0.6278714780744753,606637.0,0.8262979984283447
2025-12-09 12:59:36,40,0.18327605956471935,0.3986,0.4296875,4.9890321806397744e-05,0.3970509864389896,1231668.0,0.8830722905695438
2025-12-09 13:02:22,60,0.27491408934707906,0.3681,0.408203125,4.9538978924776634e-05,0.3758350495249033,1840527.0,0.8893756732344628
2025-12-09 13:05:08,80,0.3665521191294387,0.3679,0.42578125,4.8949082859661564e-05,0.37863940969109533,2453255.0,0.8894602589309215
2025-12-09 13:07:54,100,0.4581901489117984,0.3501,0.447265625,4.812636822554873e-05,0.35902090556919575,3047653.0,0.8953067481517791
2025-12-09 13:10:36,120,0.5498281786941581,0.3411,0.416015625,4.70788329589324e-05,0.3490343697369099,3654250.0,0.8971613809466362
2025-12-09 13:13:20,140,0.6414662084765178,0.3397,0.388671875,4.581666056718016e-05,0.35075741559267043,4263762.0,0.8973832368850708
2025-12-09 13:16:18,160,0.7331042382588774,0.3393,0.392578125,4.435212113060357e-05,0.3465989526361227,4887723.0,0.8980731166899204
2025-12-09 13:18:59,180,0.8247422680412371,0.3323,0.40234375,4.269945202012256e-05,0.34386592321097853,5495806.0,0.8987128652632237
2025-12-09 13:21:49,200,0.9163802978235968,0.3411,0.4375,4.08747194901145e-05,0.35055645927786827,6108663.0,0.8965326860547066
2025-12-09 13:24:34,220,1.004581901489118,0.3345,0.375,3.889566249195928e-05,0.34641809006790064,6695134.0,0.898340422611732
2025-12-09 13:27:23,240,1.0962199312714778,0.2955,0.36328125,3.6781520226630734e-05,0.3176871692761779,7300992.0,0.9079269833862782
2025-12-09 13:30:17,260,1.1878579610538373,0.3018,0.3671875,3.4552845112764475e-05,0.316128458827734,7918666.0,0.9070022121071816
2025-12-09 13:33:11,280,1.279495990836197,0.298,0.380859375,3.2231302988414194e-05,0.3108984535560012,8533800.0,0.9079652406275273
2025-12-09 13:36:11,300,1.3711340206185567,0.2895,0.4765625,2.983946248881433e-05,0.3039082923904061,9148227.0,0.9096013642847538
2025-12-09 13:38:57,320,1.4627720504009165,0.297,0.3515625,2.7400575647692046e-05,0.31311971619725226,9761572.0,0.9080285780131817
2025-12-09 13:41:44,340,1.554410080183276,0.2997,0.408203125,2.493835185499039e-05,0.31170680448412896,10369029.0,0.9069883331656456
2025-12-09 13:44:28,360,1.6460481099656357,0.2882,0.421875,2.2476727368449488e-05,0.30504744183272126,10978168.0,0.9096868112683296
2025-12-09 13:47:17,380,1.7376861397479955,0.2906,0.38671875,2.0039632619715726e-05,0.3042450273409486,11590170.0,0.9097427770495414
2025-12-09 13:50:05,400,1.8293241695303553,0.2979,0.390625,1.765075957708856e-05,0.311570024676621,12202345.0,0.9074619807302952
2025-12-09 13:52:49,420,1.9209621993127146,0.2943,0.359375,1.533333142646453e-05,0.3064007131382823,12818673.0,0.9085066251456737
2025-12-09 13:55:27,440,2.009163802978236,0.2852,0.361328125,1.3109876809501658e-05,0.30110567363051627,13394467.0,0.911215666052583
2025-12-09 13:58:22,460,2.1008018327605957,0.2767,0.40234375,1.100201081372485e-05,0.30000593457370994,13997294.0,0.9134082593023777
2025-12-09 14:01:05,480,2.1924398625429555,0.2782,0.365234375,9.030224843654739e-06,0.2951184706762433,14611274.0,0.9134421676397324
2025-12-09 14:03:48,500,2.284077892325315,0.2768,0.36328125,7.213687415706416e-06,0.29507651049643757,15223051.0,0.9125940211117267
2025-12-09 14:06:34,520,2.3757159221076747,0.2879,0.388671875,5.570057813410043e-06,0.3062728589400649,15828227.0,0.9107305020093918
2025-12-09 14:09:26,540,2.4673539518900345,0.2807,0.3828125,4.115314414485175e-06,0.3001134045422077,16444355.0,0.9118675172328949
2025-12-09 14:12:15,560,2.558991981672394,0.2825,0.369140625,2.8635993586697553e-06,0.3010328425094485,17050453.0,0.9117454692721367
2025-12-09 14:15:03,580,2.6506300114547536,0.2805,0.34765625,1.827081066349459e-06,0.2983494831249118,17656812.0,0.9118934623897076
2025-12-09 14:17:45,600,2.7422680412371134,0.2828,0.349609375,1.0158359444987053e-06,0.2997467840090394,18268858.0,0.9115662433207035
2025-12-09 14:20:36,620,2.8339060710194732,0.28,0.36328125,4.377504299168694e-07,0.29738749098032713,18881529.0,0.912566251307726
2025-12-09 14:23:25,640,2.925544100801833,0.2814,0.357421875,9.844432203644228e-08,0.2989993404597044,19496929.0,0.9117766588926315
2025-12-09 14:25:57,657,3.0,5529.5372,7.573,0.119,3.366314657654231e+17,0.31886389066821,0.29620371690163244,20001264.0,0.9130027312498826
